name,type,id,rarity,star,armor_type,nationality,oxy_max,s_durability,s_cannon,s_torpedo,s_antiaircraft,s_air,durability1,cannon1,torpedo1,antiaircraft1,air1,reload1,xxx1,hit1,dodge1,speed1,luck1,antisubmarine1,durability2,cannon2,torpedo2,antiaircraft2,air2,reload2,xxx2,hit2,dodge2,speed2,luck2,antisubmarine2,durability3,cannon3,torpedo3,antiaircraft3,air3,reload3,xxx3,hit3,dodge3,speed3,luck3,antisubmarine3,durability4,cannon4,torpedo4,antiaircraft4,air4,reload4,xxx4,hit4,dodge4,speed4,luck4,antisubmarine4,g_durability,g_cannon,g_torpedo,g_antiaircraft,g_air,g_reload,g_xxx,g_hit,g_dodge,g_speed,g_luck,g_antisubmarine,ge_durability,ge_cannon,ge_torpedo,ge_antiaircraft,ge_air,ge_reload,ge_xxx,ge_hit,ge_dodge,ge_speed,ge_luck,ge_antisubmarine
斯彭斯,1,101151,2,1,1,1,0,15,51,0,0,54,325,15,52,32,0,72,0,72,59,42,20,50,404,19,65,40,0,72,0,72,59,42,20,62,563,26,90,55,0,72,0,72,59,42,20,87,800,38,129,79,0,72,0,72,59,42,20,124,7920,152,510,620,0,360,0,1068,876,0,0,492,7128,358,1129,430,0,848,0,-626,-664,0,0,448
本森,1,101161,3,2,1,1,0,16,59,0,0,56,294,16,60,32,0,75,0,67,60,45,72,47,366,20,75,40,0,75,0,67,60,45,72,59,509,28,104,56,0,75,0,67,60,45,72,82,725,40,149,79,0,75,0,67,60,45,72,118,7180,162,590,628,0,374,0,996,894,0,0,470,7170,378,1186,430,0,886,0,-584,-624,0,0,448
拉菲,1,101171,4,2,1,1,0,18,56,0,0,60,319,19,56,33,0,81,0,75,60,45,18,49,397,24,70,41,0,81,0,75,60,45,18,61,553,33,98,57,0,81,0,75,60,45,18,85,786,47,140,81,0,81,0,75,60,45,18,122,7790,184,558,644,0,402,0,1104,894,0,0,484,7780,439,1164,436,0,948,0,-644,-624,0,0,448
西姆斯,1,101241,3,2,1,1,0,15,53,0,0,56,293,15,53,32,0,75,0,65,59,42,45,51,364,19,66,40,0,75,0,65,59,42,45,64,507,26,93,56,0,75,0,65,59,42,45,89,721,37,132,79,0,75,0,65,59,42,45,127,7135,148,528,628,0,372,0,960,876,0,0,508,7135,347,1140,430,0,881,0,-560,-614,0,0,445
哈曼,1,101251,3,2,1,1,0,15,53,0,0,56,293,15,53,32,0,75,0,65,59,42,47,51,364,19,66,40,0,75,0,65,59,42,47,64,507,26,93,56,0,75,0,65,59,42,47,89,721,37,132,79,0,75,0,65,59,42,47,127,7135,148,528,628,0,372,0,960,876,0,0,508,7135,347,1140,430,0,881,0,-560,-614,0,0,445
埃尔德里奇,1,101261,5,3,1,1,0,15,72,0,0,63,277,15,72,34,0,85,0,71,78,25.2,75,56,345,19,90,42,0,85,0,71,78,25.2,75,70,480,26,126,59,0,85,0,71,78,25.2,75,98,683,37,179,84,0,85,0,71,78,25.2,75,139,6765,148,716,672,0,422,0,1044,1152,0,0,554,6755,347,1206,453,0,996,0,-609,-772,0,0,434
贝利,1,101271,3,2,1,1,0,16,59,0,0,56,294,16,60,32,0,75,0,67,60,44.4,70,47,366,20,75,40,0,75,0,67,60,44.4,70,59,509,28,104,56,0,75,0,67,60,44.4,70,82,725,40,149,79,0,75,0,67,60,44.4,70,117,7180,162,590,628,0,374,0,996,888,0,0,468,7170,378,1186,430,0,886,0,-584,-621,0,0,448
拉德福特,1,101291,3,2,1,1,0,16,52,0,0,55,331,16,53,32,0,74,0,72,60,45.6,80,51,412,20,66,40,0,74,0,72,60,45.6,80,64,573,28,92,56,0,74,0,72,60,45.6,80,89,816,39,131,79,0,74,0,72,60,45.6,80,126,8075,156,520,632,0,366,0,1068,894,0,0,502,8075,369,1136,426,0,872,0,-626,-624,0,0,446
杰金斯,1,101301,3,2,1,1,0,16,52,0,0,55,335,16,53,32,0,74,0,72,60,43.2,81,51,417,20,66,40,0,74,0,72,60,43.2,81,64,580,28,92,56,0,74,0,72,60,43.2,81,89,826,39,131,79,0,74,0,72,60,43.2,81,126,8175,156,520,632,0,366,0,1068,882,0,0,502,8175,369,1136,426,0,872,0,-626,-615,0,0,446
尼古拉斯,1,101311,4,2,1,1,0,16,54,0,0,57,341,16,54,33,0,76,0,72,59,42,80,52,424,20,67,41,0,76,0,72,59,42,80,65,590,28,94,57,0,76,0,72,59,42,80,91,840,40,134,82,0,76,0,72,59,42,80,130,8315,160,536,648,0,378,0,1068,876,0,0,518,8315,373,1148,447,0,897,0,-626,-614,0,0,444
布什,1,101331,3,2,1,1,0,16,52,0,0,55,331,16,52,35,0,74,0,73,59,42,34,51,412,20,65,44,0,74,0,73,59,42,34,64,573,28,91,61,0,74,0,73,59,42,34,89,816,39,130,87,0,74,0,73,59,42,34,126,8075,156,518,692,0,366,0,1074,876,0,0,502,8075,369,1133,471,0,872,0,-627,-614,0,0,446
黑泽伍德,1,101341,3,2,1,1,0,16,52,0,0,54,331,16,53,32,0,72,0,72,59,42,75,54,412,20,66,40,0,72,0,72,59,42,75,67,573,28,92,56,0,72,0,72,59,42,75,94,816,39,131,79,0,72,0,72,59,42,75,134,8075,156,520,632,0,360,0,1068,876,0,0,536,8075,369,1136,426,0,848,0,-626,-614,0,0,440
贝奇,1,101351,3,2,1,1,0,14,52,0,0,54,338,14,53,36,0,72,0,68,60,43.2,78,46,420,18,66,45,0,72,0,68,60,43.2,78,57,585,25,92,63,0,72,0,68,60,43.2,78,80,832,35,131,89,0,72,0,68,60,43.2,78,114,8235,140,520,712,0,360,0,1008,882,0,0,454,8235,325,1136,481,0,848,0,-591,-615,0,0,447
霍比,1,101361,3,2,1,1,0,16,59,0,0,56,294,16,60,32,0,75,0,67,60,45,68,52,366,20,75,40,0,75,0,67,60,45,68,65,509,28,104,56,0,75,0,67,60,45,68,91,725,40,149,79,0,75,0,67,60,45,68,130,7180,162,590,628,0,374,0,996,894,0,0,518,7170,378,1186,430,0,886,0,-584,-624,0,0,444
科尔克,1,101371,3,2,1,1,0,16,59,0,0,56,294,16,60,32,0,75,0,67,60,45,75,47,366,20,75,40,0,75,0,67,60,45,75,59,509,28,104,56,0,75,0,67,60,45,75,82,725,40,149,79,0,75,0,67,60,45,75,118,7180,162,590,628,0,374,0,996,894,0,0,470,7170,378,1186,430,0,886,0,-584,-624,0,0,448
金伯利,1,101381,3,2,1,1,0,15,52,0,0,55,331,15,53,34,0,74,0,73,59,42,77,51,412,19,66,42,0,74,0,73,59,42,77,64,573,26,92,59,0,74,0,73,59,42,77,89,816,38,131,84,0,74,0,73,59,42,77,126,8075,152,520,664,0,366,0,1074,876,0,0,502,8075,358,1136,454,0,872,0,-627,-614,0,0,446
马拉尼,1,101391,4,2,1,1,0,16,54,0,0,56,341,17,54,32,0,76,0,72,59,42,89,52,424,21,67,40,0,76,0,72,59,42,89,65,590,29,94,56,0,76,0,72,59,42,89,91,840,42,134,79,0,76,0,72,59,42,89,130,8315,164,536,632,0,376,0,1062,876,0,0,518,8315,391,1148,426,0,892,0,-620,-614,0,0,444
艾尔温,1,101401,3,2,1,1,0,15,51,0,0,55,271,15,52,34,0,73,0,63,60,44.4,83,48,337,19,65,42,0,73,0,63,60,44.4,83,60,469,26,90,59,0,73,0,63,60,44.4,83,84,667,37,129,84,0,73,0,63,60,44.4,83,120,6605,148,510,668,0,364,0,936,888,0,0,478,6595,347,1129,457,0,866,0,-549,-621,0,0,449
斯坦利,1,101411,3,2,1,1,0,16,52,0,0,56,338,16,53,32,0,75,0,72,59,42,90,51,420,20,66,40,0,75,0,72,59,42,90,64,585,28,92,56,0,75,0,72,59,42,90,89,832,39,131,79,0,75,0,72,59,42,90,126,8235,156,520,632,0,372,0,1068,876,0,0,502,8235,369,1136,426,0,881,0,-626,-614,0,0,446
斯莫利,1,101421,3,2,1,1,0,16,52,0,0,56,338,16,53,35,0,74,0,72,59,42,65,52,420,20,66,44,0,74,0,72,59,42,65,65,585,28,92,61,0,74,0,72,59,42,65,90,832,40,131,87,0,74,0,72,59,42,65,129,8235,160,520,692,0,370,0,1068,876,0,0,510,8235,373,1136,471,0,875,0,-626,-614,0,0,448
奥马哈,2,102011,2,1,1,1,0,26,38,0,0,50,554,26,38,53,0,67,0,52,30,35,67,19,689,33,47,66,0,67,0,52,30,35,67,24,959,46,66,92,0,67,0,52,30,35,67,33,1365,65,95,130,0,67,0,52,30,35,67,48,13515,260,378,1032,0,332,0,768,450,0,0,190,4052,610,897,615,0,786,0,0,620,0,0,287
罗利,2,102021,2,1,1,1,0,26,38,0,0,50,554,26,38,53,0,67,0,52,30,35,82,19,689,33,47,66,0,67,0,52,30,35,82,24,959,46,66,92,0,67,0,52,30,35,82,33,1365,65,95,130,0,67,0,52,30,35,82,48,13515,260,378,1032,0,332,0,768,450,0,0,190,4052,610,897,615,0,786,0,0,620,0,0,287
布鲁克林,2,102031,3,2,1,1,0,30,0,0,0,50,595,30,0,58,0,66,0,54,28,32.5,55,24,740,38,0,72,0,66,0,54,28,32.5,55,30,1030,53,0,100,0,66,0,54,28,32.5,55,42,1466,75,0,143,0,66,0,54,28,32.5,55,59,14510,300,0,1132,0,330,0,804,414,0,0,234,4063,705,0,605,0,780,0,0,426,0,0,337
菲尼克斯,2,102041,3,2,1,1,0,30,0,0,0,50,595,30,0,58,0,66,0,54,28,32.5,88,23,740,38,0,72,0,66,0,54,28,32.5,88,29,1030,53,0,100,0,66,0,54,28,32.5,88,40,1466,75,0,143,0,66,0,54,28,32.5,88,57,14510,300,0,1132,0,330,0,804,414,0,0,226,4063,705,0,605,0,780,0,0,426,0,0,328
海伦娜,2,102051,4,2,1,1,0,31,0,0,0,51,620,32,0,60,0,68,0,60,28,32.5,33,26,771,40,0,75,0,68,0,60,28,32.5,33,33,1073,55,0,104,0,68,0,60,28,32.5,33,46,1527,79,0,148,0,68,0,60,28,32.5,33,65,15110,312,0,1168,0,340,0,888,414,0,0,262,3778,738,0,597,0,800,0,0,426,0,0,353
亚特兰大,2,102061,3,2,1,1,0,24,29,0,0,49,605,24,29,81,0,66,0,58,28,32.5,12,46,752,30,36,101,0,66,0,58,28,32.5,12,57,1047,42,50,141,0,66,0,58,28,32.5,12,80,1490,59,72,201,0,66,0,58,28,32.5,12,114,14745,236,286,1596,0,326,0,852,414,0,0,456,3686,559,682,383,0,777,0,0,626,0,0,437
朱诺,2,102071,3,2,1,1,0,24,29,0,0,49,605,24,29,81,0,66,0,58,28,32.5,18,46,752,30,36,101,0,66,0,58,28,32.5,18,57,1047,42,50,141,0,66,0,58,28,32.5,18,80,1490,59,72,201,0,66,0,58,28,32.5,18,114,14745,236,286,1596,0,326,0,852,414,0,0,456,3686,559,682,383,0,777,0,0,626,0,0,437
圣地亚哥,2,102081,5,3,1,1,0,25,31,0,0,52,646,25,31,87,0,70,0,58,28,32.5,85,49,803,31,39,108,0,70,0,58,28,32.5,85,61,1118,44,54,151,0,70,0,58,28,32.5,85,86,1591,63,77,215,0,70,0,58,28,32.5,85,123,15745,252,306,1704,0,348,0,852,414,0,0,490,3936,588,729,292,0,822,0,0,626,0,0,441
克利夫兰,2,102091,4,2,1,1,0,30,0,0,0,52,751,31,0,61,0,69,0,56,30,32.5,71,24,934,39,0,76,0,69,0,56,30,32.5,71,30,1300,54,0,106,0,69,0,56,30,32.5,71,42,1849,76,0,151,0,69,0,56,30,32.5,71,60,18305,302,0,1196,0,344,0,828,438,0,0,238,1831,711,0,589,0,819,0,0,277,0,0,339
哥伦比亚,2,102101,4,2,1,1,0,31,0,0,0,51,751,31,0,61,0,69,0,56,30,32.5,70,24,934,39,0,76,0,69,0,56,30,32.5,70,30,1300,54,0,106,0,69,0,56,30,32.5,70,42,1849,77,0,151,0,69,0,56,30,32.5,70,60,18305,306,0,1196,0,342,0,822,438,0,0,238,1831,729,0,589,0,806,0,0,277,0,0,339
里士满,2,102111,2,1,1,1,0,26,38,0,0,50,554,26,38,53,0,67,0,52,30,35,69,22,689,33,47,66,0,67,0,52,30,35,69,28,959,46,66,92,0,67,0,52,30,35,69,39,1365,65,95,130,0,67,0,52,30,35,69,55,13515,260,378,1032,0,332,0,768,450,0,0,222,4052,610,897,615,0,786,0,0,620,0,0,315
火奴鲁鲁,2,102121,3,2,1,1,0,30,0,0,0,50,595,30,0,58,0,66,0,54,28,32.5,50,24,740,38,0,72,0,66,0,54,28,32.5,50,30,1030,53,0,100,0,66,0,54,28,32.5,50,42,1466,75,0,143,0,66,0,54,28,32.5,50,59,14510,300,0,1132,0,330,0,804,414,0,0,234,4063,705,0,605,0,780,0,0,426,0,0,337
圣路易斯,2,102131,4,2,1,1,0,31,0,0,0,51,620,32,0,60,0,68,0,57,28,32.5,65,24,771,40,0,75,0,68,0,57,28,32.5,65,30,1073,55,0,104,0,68,0,57,28,32.5,65,42,1527,79,0,148,0,68,0,57,28,32.5,65,60,15110,312,0,1168,0,340,0,840,414,0,0,242,3778,738,0,597,0,800,0,0,426,0,0,335
蒙彼利埃,2,102141,5,3,1,1,0,31,0,0,0,53,760,31,0,63,0,71,0,56,30,32.5,72,25,945,39,0,79,0,71,0,56,30,32.5,72,31,1316,54,0,110,0,71,0,56,30,32.5,72,43,1872,78,0,156,0,71,0,56,30,32.5,72,62,18535,310,0,1240,0,354,0,828,438,0,0,246,1853,733,0,574,0,839,0,-3,277,0,0,347
丹佛,2,102151,4,2,1,1,0,29,0,0,0,51,751,29,0,61,0,68,0,55,30,32.5,69,24,934,36,0,76,0,68,0,55,30,32.5,69,30,1300,50,0,106,0,68,0,55,30,32.5,69,42,1849,72,0,150,0,68,0,55,30,32.5,69,60,18305,286,0,1188,0,340,0,816,438,0,0,238,1831,682,0,591,0,800,0,0,277,0,0,339
孟菲斯,2,102161,3,2,1,1,0,27,39,0,0,51,565,27,39,55,0,68,0,52,30,35,67,20,703,34,49,69,0,68,0,52,30,35,67,25,978,47,68,96,0,68,0,52,30,35,67,35,1392,67,97,137,0,68,0,52,30,35,67,49,13780,266,386,1088,0,338,0,768,450,0,0,194,4134,634,919,608,0,802,0,0,620,0,0,296
康克德,2,102181,3,2,1,1,0,27,39,0,0,51,565,27,40,55,0,68,0,52,30,35,67,20,703,34,50,69,0,68,0,52,30,35,67,25,978,47,69,96,0,68,0,52,30,35,67,35,1392,67,99,137,0,68,0,52,30,35,67,49,13780,266,392,1088,0,338,0,768,450,0,0,194,4134,634,919,608,0,802,0,0,620,0,0,296
小海伦娜,2,102191,4,2,1,1,0,30,0,0,0,51,558,31,0,60,0,68,0,59,28,32.5,33,26,694,39,0,75,0,68,0,59,28,32.5,33,32,966,54,0,104,0,68,0,59,28,32.5,33,45,1375,77,0,148,0,68,0,59,28,32.5,33,64,13610,304,0,1168,0,340,0,870,420,0,0,254,3403,724,0,597,0,800,0,8,425,0,0,356
小克利夫兰,2,102201,4,2,1,1,0,30,0,0,0,50,628,30,0,61,0,66,0,54,30,32.5,71,24,781,37,0,76,0,66,0,54,30,32.5,71,30,1087,52,0,106,0,66,0,54,30,32.5,71,42,1546,74,0,151,0,66,0,54,30,32.5,71,60,15305,296,0,1196,0,330,0,804,450,0,0,238,1531,702,0,589,0,780,0,4,270,0,0,339
小圣地亚哥,2,102211,4,2,1,1,0,24,29,0,0,50,555,24,30,84,0,67,0,58,28,32.5,85,47,690,30,37,105,0,67,0,58,28,32.5,85,59,961,42,52,146,0,67,0,58,28,32.5,85,82,1367,60,74,207,0,67,0,58,28,32.5,85,117,13525,238,294,1644,0,334,0,852,420,0,0,468,3381,565,696,344,0,791,0,0,625,0,0,448
圣胡安,2,102221,3,2,1,1,0,24,29,0,0,49,605,24,29,83,0,66,0,58,28,32.5,77,45,752,30,36,103,0,66,0,58,28,32.5,77,56,1047,42,50,144,0,66,0,58,28,32.5,77,79,1490,59,72,205,0,66,0,58,28,32.5,77,113,14745,236,286,1620,0,326,0,852,414,0,0,450,3686,559,682,365,0,777,0,0,626,0,0,448
伯明翰,2,102231,4,2,1,1,0,31,0,0,0,51,730,31,0,62,0,68,0,58,29,32.5,48,24,908,39,0,77,0,68,0,58,29,32.5,48,30,1264,54,0,108,0,68,0,58,29,32.5,48,42,1798,77,0,153,0,68,0,58,29,32.5,48,59,17805,306,0,1216,0,338,0,858,432,0,0,234,1780,729,0,582,0,802,0,-6,423,0,0,337
克利夫兰(μ兵装),2,102241,4,2,1,1,0,30,0,0,0,52,669,30,0,61,0,69,0,56,30,32.5,71,24,832,37,0,76,0,69,0,56,30,32.5,71,30,1158,52,0,106,0,69,0,56,30,32.5,71,42,1647,74,0,151,0,69,0,56,30,32.5,71,60,16305,296,0,1196,0,344,0,828,438,0,0,238,1631,702,0,589,0,819,0,-1,427,0,0,339
彭萨科拉,3,103011,2,1,1,1,0,42,0,0,0,44,563,43,0,37,0,59,0,39,9,26.2,75,0,700,54,0,46,0,59,0,39,9,26.2,75,0,975,75,0,64,0,59,0,39,9,26.2,75,0,1387,107,0,91,0,59,0,39,9,26.2,75,0,13735,424,0,724,0,292,0,570,132,0,0,0,4118,1001,0,491,0,691,0,255,1378,0,0,0
盐湖城,3,103021,2,1,1,1,0,42,0,0,0,44,563,43,0,37,0,59,0,39,9,26.2,71,0,700,54,0,46,0,59,0,39,9,26.2,71,0,975,75,0,64,0,59,0,39,9,26.2,71,0,1387,107,0,91,0,59,0,39,9,26.2,71,0,13735,424,0,724,0,292,0,570,132,0,0,0,4118,1001,0,491,0,691,0,255,1378,0,0,0
北安普敦,3,103031,3,2,1,1,0,44,0,0,0,46,573,44,0,38,0,61,0,40,9,26.16,27,0,713,55,0,47,0,61,0,40,9,26.16,27,0,992,77,0,66,0,61,0,40,9,26.16,27,0,1411,110,0,94,0,61,0,40,9,26.16,27,0,13970,438,0,748,0,304,0,588,132,0,0,0,4191,1040,0,512,0,724,0,252,1278,0,0,0
芝加哥,3,103041,3,2,1,1,0,44,0,0,0,46,581,44,0,38,0,61,0,40,9,26.16,32,0,723,55,0,47,0,61,0,40,9,26.16,32,0,1006,77,0,66,0,61,0,40,9,26.16,32,0,1431,110,0,94,0,61,0,40,9,26.16,32,0,14160,438,0,748,0,304,0,588,132,0,0,0,4248,1040,0,512,0,724,0,252,1278,0,0,0
休斯敦,3,103051,4,2,1,1,0,45,0,0,0,47,590,45,0,39,0,63,0,40,9,26.16,49,0,734,56,0,49,0,63,0,40,9,26.16,49,0,1021,79,0,68,0,63,0,40,9,26.16,49,0,1453,113,0,97,0,63,0,40,9,26.16,49,0,14380,450,0,768,0,314,0,588,132,0,0,0,4314,1060,0,530,0,744,0,252,1278,0,0,0
波特兰,3,103061,3,2,2,1,0,37,0,0,0,47,788,38,0,46,0,62,0,41,10,26.16,78,0,980,47,0,57,0,62,0,41,10,26.16,78,0,1365,66,0,80,0,62,0,41,10,26.16,78,0,1942,94,0,113,0,62,0,41,10,26.16,78,0,19230,374,0,896,0,310,0,612,144,0,0,0,3844,886,0,609,0,733,0,243,1426,0,0,0
印第安纳波利斯,3,103071,4,2,2,1,0,38,0,0,0,48,818,39,0,47,0,64,0,41,10,26.16,23,0,1017,49,0,59,0,64,0,41,10,26.16,23,0,1416,68,0,82,0,64,0,41,10,26.16,23,0,2014,97,0,116,0,64,0,41,10,26.16,23,0,19940,384,0,920,0,318,0,612,144,0,0,0,3988,914,0,614,0,755,0,243,1426,0,0,0
阿斯托利亚,3,103081,4,2,2,1,0,40,0,0,0,44,670,40,0,42,0,59,0,40,9,26.16,15,0,834,50,0,52,0,59,0,40,9,26.16,15,0,1161,70,0,73,0,59,0,40,9,26.16,15,0,1651,100,0,104,0,59,0,40,9,26.16,15,0,16350,398,0,824,0,294,0,594,138,0,0,0,3268,945,0,564,0,696,0,246,1422,0,0,0
昆西,3,103091,4,2,2,1,0,40,0,0,0,44,693,40,0,43,0,59,0,41,9,26.16,9,0,862,50,0,54,0,59,0,41,9,26.16,9,0,1200,70,0,75,0,59,0,41,9,26.16,9,0,1708,100,0,106,0,59,0,41,9,26.16,9,0,16910,398,0,840,0,296,0,612,138,0,0,0,3382,945,0,578,0,694,0,243,1422,0,0,0
文森斯,3,103101,4,2,2,1,0,40,0,0,0,44,693,40,0,43,0,59,0,40,9,26.16,12,0,862,50,0,54,0,59,0,40,9,26.16,12,0,1200,70,0,75,0,59,0,40,9,26.16,12,0,1708,100,0,106,0,59,0,40,9,26.16,12,0,16910,398,0,840,0,296,0,594,138,0,0,0,3382,945,0,578,0,694,0,246,1422,0,0,0
威奇塔,3,103111,4,2,1,1,0,49,0,0,0,49,638,49,0,41,0,66,0,43,9,26.4,70,0,794,61,0,51,0,66,0,43,9,26.4,70,0,1105,86,0,71,0,66,0,43,9,26.4,70,0,1571,123,0,102,0,66,0,43,9,26.4,70,0,15550,490,0,812,0,328,0,642,132,0,0,0,3888,1105,0,553,0,775,0,238,1128,0,0,0
明尼阿波利斯,3,103131,5,3,2,1,0,47,0,0,0,50,717,48,0,46,0,67,0,42,9,26.16,76,0,892,60,0,57,0,67,0,42,9,26.16,76,0,1242,84,0,80,0,67,0,42,9,26.16,76,0,1766,119,0,114,0,67,0,42,9,26.16,76,0,17490,474,0,908,0,334,0,624,138,0,0,0,3496,1084,0,607,0,791,0,241,1422,0,0,0
巴尔的摩,3,103161,5,3,2,1,0,50,0,0,0,50,793,50,0,49,0,68,0,45,9,26.4,56,0,986,62,0,61,0,68,0,45,9,26.4,56,0,1373,87,0,85,0,68,0,45,9,26.4,56,0,1953,124,0,120,0,68,0,45,9,26.4,56,0,19335,496,0,952,0,336,0,660,138,0,0,0,3867,1112,0,616,0,797,0,240,1422,0,0,0
内华达,5,105011,2,1,3,1,0,71,0,0,0,36,1153,72,0,38,0,49,0,20,4,20.5,75,0,1434,90,0,47,0,49,0,20,4,20.5,75,0,1996,125,0,66,0,49,0,20,4,20.5,75,0,2840,178,0,93,0,49,0,20,4,20.5,75,0,28115,708,0,736,0,242,0,300,66,0,0,0,19681,1210,0,502,0,568,0,445,634,0,0,0
俄克拉荷马,5,105021,2,1,3,1,0,71,0,0,0,36,1153,72,0,38,0,49,0,20,4,20.5,38,0,1434,90,0,47,0,49,0,20,4,20.5,38,0,1996,125,0,66,0,49,0,20,4,20.5,38,0,2840,178,0,93,0,49,0,20,4,20.5,38,0,28115,708,0,736,0,242,0,300,66,0,0,0,18837,1210,0,502,0,568,0,445,634,0,0,0
